Ensembl Gene ID	Associated Gene Name	Description
ENSDARG00000083480	AC024175.23	
ENSDARG00000082753	AC024175.17	
ENSDARG00000081443	AC024175.10	
ENSDARG00000080337	AC024175.4	
ENSDARG00000083046	AC024175.19	
ENSDARG00000063895	mt-nd1	NADH dehydrogenase 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-7]
ENSDARG00000083118	AC024175.20	
ENSDARG00000080630	AC024175.6	
ENSDARG00000082084	AC024175.14	
ENSDARG00000063899	mt-nd2	NADH dehydrogenase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-8]
ENSDARG00000080718	AC024175.7	
ENSDARG00000080401	AC024175.5	
ENSDARG00000081938	AC024175.13	
ENSDARG00000082789	AC024175.18	
ENSDARG00000080128	AC024175.1	
ENSDARG00000063905	mt-co1	cytochrome c oxidase I, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-14]
ENSDARG00000081369	AC024175.9	
ENSDARG00000083519	AC024175.24	
ENSDARG00000063908	mt-co2	cytochrome c oxidase II, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-15]
ENSDARG00000080151	AC024175.2	
ENSDARG00000063910	mt-atp8	ATP synthase 8, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-19]
ENSDARG00000063911	mt-atp6	ATP synthase 6, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-18]
ENSDARG00000063912	mt-co3	cytochrome c oxidase III, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-16]
ENSDARG00000081758	AC024175.12	
ENSDARG00000063914	mt-nd3	NADH dehydrogenase 3, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-9]
ENSDARG00000080329	AC024175.3	
ENSDARG00000063916	mt-nd4l	NADH dehydrogenase 4L, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-11]
ENSDARG00000063917	mt-nd4	NADH dehydrogenase 4, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-10]
ENSDARG00000082716	AC024175.16	
ENSDARG00000082123	AC024175.15	
ENSDARG00000081280	AC024175.8	
ENSDARG00000063921	mt-nd5	NADH dehydrogenase 5, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-12]
ENSDARG00000063922	mt-nd6	NADH dehydrogenase 6, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-13]
ENSDARG00000083312	AC024175.21	
ENSDARG00000063924	mt-cyb	cytochrome b, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-17]
ENSDARG00000083462	AC024175.22	
ENSDARG00000081475	AC024175.11	
ENSDARG00000103541	BX469910.3	
ENSDARG00000089432	CR352328.3	
ENSDARG00000100180	CR356223.2	
ENSDARG00000100727	si:ch211-49f20.3	si:ch211-49f20.3 [Source:ZFIN;Acc:ZDB-GENE-131127-458]
ENSDARG00000099963	si:ch211-223k15.1	si:ch211-223k15.1 [Source:ZFIN;Acc:ZDB-GENE-141215-3]
ENSDARG00000101229	CR792418.3	
ENSDARG00000057884	zgc:114174	zgc:114174 [Source:ZFIN;Acc:ZDB-GENE-050626-103]
